JamesBond, 3169
TheLordOfTheRings, 1867
ANewHope, 1752
TheAvengers2012, 1746
TheDarkKnight, 1712
ReturnOfTheJedi, 1682
TheMatrix, 1604
RevengeOfTheSith, 1560
StarTrek2009, 1519
ThorRagnarok, 1515
Thor, 1505
TheForceAwakens, 1469
TheEmpireStrikesBack, 1443
AvengersInfinityWar, 1440
AvengersAgeOfUltron, 1377
WhoFramedRogerRabbit, 1327
XMenFilmSeries, 1296
TheDarkKnightRises, 1294
TheLastJedi, 1291
CaptainAmericaCivilWar, 1291
AvengersEndgame, 1276
CaptainAmericaTheWinterSoldier, 1266
CaptainAmericaTheFirstAvenger, 1266
XMenDaysOfFuturePast, 1250
ThePhantomMenace, 1250
XMenFirstClass, 1247
Terminator2JudgmentDay, 1240
TheWizardOfOz, 1238
XMenApocalypse, 1184
Serenity, 1155
Aliens, 1088
BatmanVSupermanDawnOfJustice, 1073
StarTrekIITheWrathOfKhan, 1067
KillBill, 1054
PacificRim, 1054
GuardiansOfTheGalaxy, 1052
BackToTheFuture, 1050
GuardiansOfTheGalaxyVol2, 1044
MontyPythonAndTheHolyGrail, 1036
TheGodfather, 1022
Avatar, 1018
TronLegacy, 1018
Transformers, 1018
Batman1989, 1009
WonderWoman2017, 994
JurassicWorld, 991
AttackOfTheClones, 988
RogueOne, 988
BlackPanther2018, 986
ManOfSteel, 980
StarTrekIntoDarkness, 975
AustinPowers, 952
MenInBlack, 951
HarryPotter, 945
BatmanReturns, 939
BatmanBegins, 930
ThorTheDarkWorld, 915
Deadpool2016, 903
IronMan2, 902
ScottPilgrimVsTheWorld, 901
IndependenceDay, 896
TheTerminator, 895
Spaceballs, 890
ThePrincessBride, 890
JurassicPark, 888
TheThreeStooges, 888
Ghostbusters1984, 886
IronMan3, 884
GalaxyQuest, 877
RaidersOfTheLostArk, 873
TheRockyHorrorPictureShow, 871
SpiderManHomecoming, 869
MadMaxFuryRoad, 853
HotFuzz, 846
TheHobbit, 838
IndianaJonesAndTheLastCrusade, 834
Skyfall, 822
Inception, 810
StarTrekFirstContact, 806
PiratesOfTheCaribbeanAtWorldsEnd, 797
PiratesOfTheCaribbeanTheCurseOfTheBlackPearl, 796
IronMan, 793
GoldenEye, 793
CaptainMarvel2019, 789
HomeAlone, 786
Titanic1997, 784
TheFifthElement, 775
TheRiseOfSkywalker, 767
IronMan1, 767
CasinoRoyale2006, 761
TheDarkKnightTrilogy, 760
PulpFiction, 757
BackToTheFuturePartII, 753
Godzilla2014, 750
Tron, 734
GodzillaKingOfTheMonsters2019, 734
StarshipTroopers, 729
BladeRunner, 725
ThreeHundred, 721
KingsmanTheSecretService, 717
SkyHigh2005, 715
Deadpool2, 712
SinCity, 712
TwoThousandOneASpaceOdyssey, 711
Alien, 709
DoctorStrange2016, 700
StarTrekVITheUndiscoveredCountry, 696
BatmanAndRobin, 695
TheLordOfTheRingsTheReturnOfTheKing, 690
SpiderManFarFromHome, 689
JusticeLeague2017, 687
BlazingSaddles, 685
XMenOriginsWolverine, 679
DemolitionMan, 671
SuicideSquad2016, 669
BatmanForever, 666
KickAss, 659
XMenTheLastStand, 657
TransformersRevengeOfTheFallen, 650
TransformersFilmSeries, 650
TheGodfatherPartII, 642
Watchmen, 639
TheBigLebowski, 638
TheNakedGun, 637
X2XMenUnited, 636
MeanGirls, 635
Spectre, 631
Labyrinth, 627
BackToTheFuturePartIII, 625
GIJoeTheRiseOfCobra, 619
Beetlejuice, 617
InglouriousBasterds, 614
Hellboy2004, 608
RoboCop1987, 604
Enchanted, 603
SpiderMan1, 602
Dogma, 600
IndianaJonesAndTheTempleOfDoom, 596
TheFly1986, 593
WillyWonkaAndTheChocolateFactory, 590
TheHungerGames, 590
ItsAWonderfulLife, 588
FightClub, 586
Airplane, 582
Jaws, 582
Logan, 580
TransformersDarkOfTheMoon, 580
LicenceToKill, 578
DjangoUnchained, 577
District9, 576
StarTrekTheMotionPicture, 576
TheMummy1999, 575
TheThing1982, 573
TheWorldsEnd, 572
Maleficent, 567
TheMatrixReloaded, 565
TomorrowNeverDies, 563
XMen1, 562
Goldfinger, 562
IndianaJonesAndTheKingdomOfTheCrystalSkull, 561
TheMask, 560
ForrestGump, 559
MysteryMen, 559
TheLordOfTheRingsTheFellowshipOfTheRing, 557
SupermanTheMovie, 557
RepoTheGeneticOpera, 556
SherlockHolmes2009, 554
TheBluesBrothers, 553
PiratesOfTheCaribbeanDeadMansChest, 552
VForVendetta, 550
Aquaman2018, 549
TheAmazingSpiderMan, 545
DrStrangelove, 545
TheCabinInTheWoods, 544
StarTrekGenerations, 543
MarsAttacks, 541
TheIncredibleHulk, 540
TheWolverine, 540
ShaunOfTheDead, 537
TheRoom, 533
TheLordOfTheRingsTheTwoTowers, 532
MaryPoppins, 532
Underworld2003, 531
LastActionHero, 530
TheGoodTheBadAndTheUgly, 529
TheWorldIsNotEnough, 525
CitizenKane, 523
DieAnotherDay, 523
TheProducers, 521
SpaceJam, 520
SpiderManTrilogy, 519
SpiderMan2, 518
ScaryMovie, 516
StarTrekIVTheVoyageHome, 515
Gladiator, 513
StarTrekIIITheSearchForSpock, 513
SpiderMan3, 510
Casablanca, 509
Predator, 509
Solo, 508
TransformersAgeOfExtinction, 507
SuckerPunch, 504
StarTrekBeyond, 502
StarTrekVTheFinalFrontier, 501
AnimalHouse, 501
Psycho, 500
TotalRecall1990, 499
SupermanII, 498
SinCityADameToKillFor, 498
SonicTheHedgehog2020, 495
TheDarkCrystal, 494
JumanjiWelcomeToTheJungle, 494
DiamondsAreForever, 493
VanHelsing, 491
HighSchoolMusical, 491
ApocalypseNow, 489
Interstellar, 488
Hook, 488
TheSpyWhoLovedMe, 488
TheLeagueOfExtraordinaryGentlemen, 487
HellboyIITheGoldenArmy, 487
TheMuppets, 485
FlashGordon1980, 484
Shazam2019, 482
Moonraker, 477
StarTrekNemesis, 476
AliceInWonderland2010, 475
Snatch, 474
Braveheart, 473
Terminator3RiseOfTheMachines, 472
Jumanji, 470
StreetFighter, 469
AntManAndTheWasp, 468
TropicThunder, 465
Prometheus, 464
PiratesOfTheCaribbeanOnStrangerTides, 464
Ghostbusters2016, 463
JohnWick, 463
SupermanReturns, 463
BeautyAndTheBeast2017, 462
TheBoondockSaints, 462
Zombieland, 461
ConanTheBarbarian1982, 460
MontyPythonsLifeOfBrian, 460
TheAddamsFamily, 460
Dredd, 459
